,FoodItem,Item.No,Category,Palatability,Energy_levels,Energy_levels2,NOVA_Group,NOVA_Group2,Liking,Familiarity,Healthiness,Expected_Satiation,Frequency_of_consumption,Energy_content,Estimated_ED,Carbohydrate,Fat,Protein,Fibre,Sugars,Starch_Polyols,SatFat,Salt,Sodium,Energy_density,Portion,Actual_price,red,green,blue,Object_size,Brightness,Within_object_contrast,complexity,norm_complexity,Spatial_frequency,meanpow,visual_area_px,visual_area_cm2
32,Mustaleima emmental / Strong emmental cheese,38,Fat,Not HPF,LED,HED,PF,MPF,61.00806452,65.17258065,42.90967742,42.93225806,3.5,120.363871,69.46129032,0,9.4178,8.8102,0,0,0,6.076,0.21266,0.083658537,3.95,30.38,0.576207333,0.338953898,0.336242261,0.324803841,0.999998753,55.16134357,23.62378,0.021985371,0.021985398,15.59487,16.56473,186277,29.37341396
33,Mustat oliivit / Black olives,39,Fat,HPF,LED,LED,UPF,UPF,50.92741935,67.0516129,64.98548387,35.40967742,2.822580645,113.2683871,45.23709677,0,12.7868,0.4918,2.9508,0,0,2.16392,2.459,0.967348544,1.22,98.36,0.7930275,0.337028237,0.336526231,0.326445532,0.999816858,66.24944135,43.26812,0.029455292,0.029460688,16.8147,17.78844,140146,22.09916668
35,Neljän viljan hiutale / Multi grain oatmeal,40,Carbohydrate,Not HPF,MED,HED,MPF,MPF,56.66129032,68.99032258,76.52741935,57.69516129,5.758064516,114.5496774,47.71774194,21.92337,0.98532,3.69495,4.25799,0.31671,21.60666,0.17595,0.003519,0.001384343,3.41,35.19,0.04347,0.338004484,0.334088239,0.327907277,1,46.42476556,28.26654,0.029974132,0.029974132,17.56346,18.47552,578819,91.27208454
36,Omena Lettiviineri / Apple pockets,41,Combo,Not HPF,MED,HED,UPF,UPF,60.81451613,48.74193548,19.78709677,36.88225806,0.677419355,131.9767742,65.63225806,13.182,6.422,2.028,0.6422,4.732,8.45,3.718,0.2028,0.079779701,3.55,33.8,0.359125,0.34307876,0.336098288,0.320822952,0.999991853,56.28175824,30.33987,0.02274396,0.022744145,17.17284,17.82142,279550,44.0813298
37,Pähkinäsuklaa-myslipatukka / Muesli chocolate & Hazelnut bar,42,Combo,HPF,MED,HED,UPF,UPF,56.72580645,61.57741935,46.56612903,44.75483871,1.580645161,138.4722581,69.10322581,22.68336,2.86839,2.3079,0,11.07792,11.60544,2.3079,0.085722,0.033722266,3.64,32.97,0.382818333,0.339769717,0.336244012,0.323986272,0.999998753,57.77736707,25.61461,0.02374031,0.023740339,16.73278,17.49606,183935,29.0041116
38,Pehmeät toffeekarkit / Cream fudge candies,43,Carbohydrate,Not HPF,HED,VHED,UPF,UPF,55.08064516,66.94354839,10.15645161,27.06774194,0.677419355,124.5406452,72.71774194,23.4392,2.56984,0.53656,0,19.768,3.6712,1.32728,0.12708,0.049992132,4.25,28.24,0.383807273,0.34035148,0.336374207,0.323274314,0.999995677,60.11661699,23.87353,0.023522917,0.023523018,15.88087,16.77916,244838,38.60770748
39,Pekoni / Bacon,44,Fat,HPF,MED,HED,UPF,UPF,62.48387097,78.66129032,23.55,44.18225806,3.161290323,138.1277419,73.93709677,0.1125,11.25,4.5,0,0.1125,0,4.5,0.825,0.3245476,3.2,37.5,0.549264706,0.341826151,0.334513616,0.323660233,0.99999443,58.16484855,27.11977,0.030955844,0.030956016,16.78424,17.45882,505296,79.67848193
40,Pienet ananaspalat / Pineapple,45,Carbohydrate,Not HPF,LED,VLED,UPF,UPF,61.31451613,77.72903226,69.47903226,44.3516129,2.822580645,124.7341935,39.41451613,28.8886,0,0,0,28.8886,0,0,0,0,0.54,222.22,1.825378571,0.348889988,0.339926419,0.311183593,0.999998504,59.07290338,25.88306,0.029529696,0.02952974,16.28336,17.0968,1247877,196.7736633
41,Pika-kaurahiutale / Oatmeal,46,Carbohydrate,Not HPF,MED,HED,MPF,MPF,59.16129032,84.22096774,76.03548387,57.07580645,10.83870968,106.5096774,45.85967742,17.901,2.48625,4.641,3.6465,0.36465,17.53635,0.43095,0.003315,0.001304091,3.62,33.15,0.036465,0.339789982,0.336531727,0.323678291,0.999977305,64.71335844,26.751,0.03973428,0.039735182,17.23052,17.98668,211701,33.38244178
42,Pinaattiohukainen / Spinach pancakes,47,Combo,HPF,MED,MED,UPF,UPF,61.31451613,79.2516129,61.36129032,45.41129032,2.258064516,105.9445161,49.57903226,17.6639,3.59369,3.59369,1.09638,1.2182,16.4457,0.48728,0.6091,0.239614477,1.97,60.91,0.25734475,0.343386145,0.339369471,0.317244384,0.999996176,63.82729978,33.1539,0.035739321,0.035739457,17.11166,17.71357,629950,99.33476554
